# of votes	partial ranking
1022	1
1145	10
1198	100
881	1000
895	10000
143	21
196	12
64	201
48	210
93	102
56	120
70	2001
114	2010
89	2100
80	1002
87	1020
51	1200
117	20001
104	20010
547	20100
72	21000
72	10002
74	10020
302	10200
83	12000
75	30021
32	30201
41	32001
62	20031
37	20301
35	23001
15	3201
14	2301
59	3021
50	2031
20	321
17	231
90	30012
13	30210
51	32010
46	20013
15	20310
28	23010
62	3012
18	3210
21	2310
54	2013
46	312
16	213
17	2130
26	3120
16	3102
47	30102
57	32100
15	30120
39	20130
83	23100
74	20103
19	132
15	123
16	2103
15	1302
45	1032
17	1320
8	1203
38	31002
45	31020
32	31200
17	21003
31	21030
55	1023
9	1230
31	21300
35	10032
49	10203
41	10302
21	10320
31	13002
22	13020
79	13200
44	10023
30	10230
26	12003
19	12030
27	12300
29	54321
67	54312
37	54231
24	54213
43	54132
28	54123
57	53421
49	53412
22	53241
22	53214
34	53142
26	53124
54	52431
44	52413
26	52341
24	52314
35	52143
50	52134
50	51432
46	51423
25	51342
19	51324
11	51243
29	51234
31	45321
54	45312
34	45231
24	45213
38	45132
30	45123
91	43521
84	43512
30	43251
35	43215
38	43152
35	43125
58	42531
66	42513
24	42351
51	42315
52	42153
40	42135
50	41532
45	41523
31	41352
23	41325
22	41253
16	41235
71	35421
61	35412
41	35241
27	35214
45	35142
36	35124
107	34521
133	34512
62	34251
28	34215
87	34152
35	34125
41	32541
64	32514
34	32451
75	32415
82	32154
74	32145
30	31542
34	31524
40	31452
42	31425
30	31254
34	31245
35	25431
34	25413
40	25341
21	25314
106	25143
79	25134
63	24531
53	24513
44	24351
28	24315
162	24153
96	24135
45	23541
52	23514
53	23451
52	23415
186	23154
172	23145
36	21543
42	21534
24	21453
26	21435
30	21354
40	21345
40	15432
35	15423
36	15342
17	15324
70	15243
50	15234
52	14532
48	14523
51	14352
24	14325
70	14253
45	14235
35	13542
28	13524
37	13452
35	13425
95	13254
102	13245
34	12543
35	12534
29	12453
27	12435
28	12354
30	12345
	
